,name,address,si_do,gun_gu
0,개포1호,서울 강남구 개포동 1229-18,서울,강남구
1,논현1호,서울 강남구 논현동 184-21,서울,강남구
2,대치1호,서울 강남구 대치동936,서울,강남구
3,대치2호,서울 강남구 대치동 990번지 삼성상가 113호 1/2,서울,강남구
4,삼성1호,서울 강남구 삼성동 44-18,서울,강남구
5,세곡,서울 강남구 자곡동 611,서울,강남구
6,압구정신사,서울 강남구 신사동 640-5 대성빌딩 1층 1호,서울,강남구
7,역삼1호,서울 강남구 역삼동 837-15,서울,강남구
8,일원본동,서울 강남구 수서동 747 삼성아파트 상가 104호,서울,강남구
9,청담역,서울 강남구 청담동 65 진흥아파트상가,서울,강남구
10,강일,서울 강동구 강일동 679-3 리슈빌오피스텔,서울,강동구
11,고덕1호,서울 강동구 고덕동 650-1,서울,강동구
12,길1호,서울 강동구 길동 347-31,서울,강동구
13,둔촌1호,서울 강동구 둔촌동 454-5,서울,강동구
14,명일1호,서울 강동구 명일동 328-2,서울,강동구
15,성내,서울 강동구 성내2동 509-7 1층,서울,강동구
16,암사1호,서울 강동구 천호동 287-22,서울,강동구
17,암사2호,서울 강동구 암사동 446-18,서울,강동구
18,천호1호,서울 강동구 천호동 550번지,서울,강동구
19,덕성여대,서울 강북구 우이동 72-148,서울,강북구
20,미아1호,서울 강북구 미아5동 1264-233,서울,강북구
21,미아역,서울 강북구 미아동 131-8,서울,강북구
22,수유1호,서울 강북구 수유동 385-2,서울,강북구
23,수유역점,서울 강북구 번동 461-127,서울,강북구
24,가양,서울 강서구 등촌동 75-1,서울,강서구
25,강서구청,서울 강서구 화곡6동 987-7,서울,강서구
26,까치산역,서울 강서구 화곡동 343-62 라인씨티 1층,서울,강서구
27,등촌,서울 강서구 등촌동 649-14,서울,강서구
28,마곡1호,서울 강서구 강서로 마곡동 784-11 마곡오드카운티1차 111호,서울,강서구
29,발산역,서울 강서구 내발산동 655-6번지 1층 13호,서울,강서구
30,방화2호,서울 강서구 방화2동 580-27,서울,강서구
31,염창,서울 강서구 염창동 250-16,서울,강서구
32,화곡2호,서울 강서구 화곡동 400-45,서울,강서구
33,봉천2호,서울 관악구 봉천동 1674-20,서울,관악구
34,봉천3호,서울 관악구 봉천동 1632-9,서울,관악구
35,봉천4호,서울 관악구 봉천동 931-12,서울,관악구
36,봉천5호,서울 관악구 봉천3동 7-291,서울,관악구
37,신림1호,서울 관악구 신림4동 504-22,서울,관악구
38,신림2호,서울 관악구 신림동 762-7,서울,관악구
39,신림3호,서울 관악구 신림9동 246-49,서울,관악구
40,건대,서울 광진구 화양동 9-18,서울,광진구
41,광장,서울 광진구 광장동 530-13,서울,광진구
42,구의2호,서울 광진구 구의동 229-43,서울,광진구
43,자양1호,서울 광진구 자양3동 584-28,서울,광진구
44,자양2호,서울 광진구 자양동 624-42,서울,광진구
45,중곡1호,서울 광진구 중곡동 41-37,서울,광진구
46,중곡2호,서울 광진구 중곡동 24-2,서울,광진구
47,개봉1호,서울 구로구 개봉동 403-159,서울,구로구
48,고척1호,서울 구로구 개봉1동 126-4,서울,구로구
49,구로2호,서울 구로구 구로동 74-30,서울,구로구
50,구로디지털,서울 구로구 구로동 826-1,서울,구로구
51,동양미래대학,서울 구로구 고척동 343,서울,구로구
52,신도림1호,서울 구로구 신도림동 410-1 신도림6차대림@상가 902동111호,서울,구로구
53,오류1호,서울 구로구 오류1동 10-3,서울,구로구
54,천왕역,서울 구로구 오류동 203-1 1층,서울,구로구
55,가산디지털,서울 금천구 가산동 371-6 가산비지니스센터 2층,서울,금천구
56,독산1호,"서울 금천구 독산동 888-20 102호,103호",서울,금천구
57,시흥1호,서울 금천구 시흥2동 264-17,서울,금천구
58,시흥2호,서울 금천구 시흥1동 905-5,서울,금천구
59,공릉1호,서울 노원구 공릉동 338-6,서울,노원구
60,공릉2호,서울 노원구 공릉동 461-1,서울,노원구
61,상계4단지,서울 노원구 상계7동 749-5 상계주공@4단지상가101호,서울,노원구
62,상계보람,서울 노원구 상계5동 456-130,서울,노원구
63,석계역,서울 노원구 월계1동 73-13,서울,노원구
64,수락산역,서울 노원구 상계동 1118,서울,노원구
65,중계1호,서울 노원구 중계1동 360-9,서울,노원구
66,중계2호,서울 노원구 중계동 137-39 정진빌라 1층,서울,노원구
67,중계역,서울 노원구 중계2동 503,서울,노원구
68,하계1호,서울 노원구 하계1동 251 청구상가 201동 101호,서울,노원구
69,도봉동,서울 도봉구 도봉2동 623-163,서울,도봉구
70,쌍문1호,서울 도봉구 방학1동 263-75,서울,도봉구
71,쌍문역,서울 도봉구 쌍문3동 88-127,서울,도봉구
72,창3동,서울 도봉구 창동 568-2,서울,도봉구
73,창동,서울 도봉구 창5동 296-37,서울,도봉구
74,경희대,서울 동대문구 회기동 42-16,서울,동대문구
75,답십리1호,서울 동대문구 답십리동 257-3,서울,동대문구
76,서울시립대,서울 동대문구 전농1동 141-141,서울,동대문구
77,신이문,서울 동대문구 이문3동 237-114,서울,동대문구
78,안암,서울 동대문구 제기동 142-8,서울,동대문구
79,장안1호,서울 동대문구 전농3동 1-171,서울,동대문구
80,장안2호,서울 동대문구 장안동 338-6 1층,서울,동대문구
81,청량리역,서울 동대문구 청량리동 50-3,서울,동대문구
82,대방1호,서울 동작구 대방동 20-25 한스빌 105호,서울,동작구
83,사당1호,서울 동작구 사당3동 155-2 1F,서울,동작구
84,사당3호,서울 동작구 사당동 220-119,서울,동작구
85,상도터널,서울 동작구 상도1동 587,서울,동작구
